finaidname,finaidlink,finaidtype,studylevel,familyincome,cgpa,major
Amcorp Study Grant,https://www.amcorpproperties.com/html/get_in_touch_amcorp_study_grant.aspx,Scholarship,all,all,3,account
Bantuan Kewangan Asasi IPTA,,One-off Aid,foundation,all,0,all
Biasiswa Bank Negara – Kijang Scholarship,BNM LIST OF APPROVED UNIVERSITIES FOR SCHOLARSHIP 2022,Scholarship,foundation,all,0,all
Biasiswa Bank Negara Malaysia Scholarship – Undergraduate,Scholarships - Bank Negara Malaysia (bnm.gov.my),Scholarship ,degree,all,3.5,all
Biasiswa Bank Pembangunan Islam (ISDB),https://www.biasiswamalaysia.com/biasiswa-bank-pembangunan-islam-isdb/,Scholarship ,"degree,master,phd",all,0,all
Biasiswa Behn Meyer AgriCare Education Fund Scholarship,https://www.behnmeyer.com/scholarship,Scholarship ,"diploma,degree,master,phd",all,0,all
Biasiswa Cagamas Scholarship Programme,https://www.biasiswamalaysia.com/biasiswa-cagamas-scholarship-programme/,Scholarship ,degree,b40,3,all
Biasiswa Endowment UiTM 2022,https://www.biasiswamalaysia.com/biasiswa-endowment-uitm/,Scholarship ,"degree,master,phd",all,3.5,all
Biasiswa Gadang Scholarship,https://www.biasiswamalaysia.com/biasiswa-gadang-scholarship/,Scholarship Degree,degree,all,3.5,all
Biasiswa Gamuda Scholarship 2023,https://www.biasiswamalaysia.com/biasiswa-gamuda-scholarship/,Scholarship Degree,degree,all,0,all
Biasiswa Great Eastern Scholarship,https://www.biasiswamalaysia.com/biasiswa-great-eastern-scholarship/,Scholarship Degree,degree,"b40,m40",3.5,all
Biasiswa Hong Leong Foundation Scholarship,HLF Scholarship Programme (hongleongcsr.org),Scholarship Degree,"diploma,degree",all,0,all
Biasiswa JPA – Program Ijazah Dalam Negara (PIDN),https://www.biasiswamalaysia.com/biasiswa-jpa-program-ijazah-dalam-negara-pidn/,Scholarship Degree,degree,all,0,all
Biasiswa JPA – Program Pelajar Cemerlang (PPC),https://www.biasiswamalaysia.com/biasiswa-jpa-program-pelajar-cemerlang-ppc/,Scholarship ,"master,phd",all,0,all
Biasiswa JPA |  Program Dermasiswa B40,https://www.biasiswamalaysia.com/biasiswa-program-dermasiswa-b40/,Scholarship ,diploma,b40,0,all
Biasiswa Kuok Foundation Berhad,https://www.biasiswamalaysia.com/biasiswa-kuok-foundation-berhad/,Scholarship ,degree,all,0,all
Biasiswa Lion-Parkson Foundation Scholarship,Lion Parkson Foundation Scholarship,Scholarship ,degree,all,3.4,all
Biasiswa Maxis Scholarship,https://www.maxis.com.my/en/about-maxis/career/maxis-scholarship-programme/,Scholarship ,degree,all,0,all
Biasiswa Maybank Group Scholarship Programme,https://www.biasiswamalaysia.com/biasiswa-maybank-group-scholarship-programme/,Scholarship ,degree,all,0,all
Biasiswa MBAM Education Fund Scholarship Awards,scholarship | (mbam.org.my),Scholarship ,degree,all,0,all
Biasiswa MNRB Scholarship Fund,https://www.biasiswamalaysia.com/biasiswa-mnrb-scholarship-fund/,Scholarship ,all,all,3.5,all
Biasiswa MyBrainSc – Kementerian Pengajian Tinggi (KPT),https://www.biasiswamalaysia.com/biasiswa-mybrainsc-kementerian-pendidikan-malaysia/,Scholarship ,all,all,0,all
Biasiswa OCBC Bank,https://www.biasiswamalaysia.com/biasiswa-ocbc-bank/,Scholarship ,degree,all,0,all
